numbers	strings	matrix
320	ᚳᚪᚱᚾᚪᛚ (KARNAL), ᚪᚾᚪᛚᚩᚷ (ANALOG)	1
226	ᛗᚩᛒᛁᚢᛋ (MOBIUS)	1
366	ᚫᚦᛖᚱᛠᛚ (AETHEREAL)	1
91	ᚠᚱᚩᛗ (FROM), ᚠᚩᚱᛗ (FORM)	1
245	ᚩᛒᛋᚳᚢᚱᚪ (OBSKURA)	1
151	ᚠᛁᚾᛞ (FIND)	1
341	ᛋᚻᚪᛞᚩᚹᛋ (SHADOWS), ᚳᚪᛒᚪᛚ (KABAL)	1
18	ᚩᚱ (OR)	1
138	ᚹᚻᛖᚾ (WHEN)	1
199	ᛗᚩᚢᚱᚾᚠᚢᛚ (MOURNFUL), ᛒᚢᚠᚠᛖᚱᛋ (BUFFERS)	1
131	not found	1
130	ᚢᚩᛁᛞ (UOID)	1
272	ᛏᛖᛚᛚ (TELL), ᛁᛗᛈᚩᛋᛖ (IMPOSE)	1
620	not found	2
434	ᚱᛠᛚᛁᛏᛁᛖᛋ (REALITIES)	2
1071	not found	2
626	not found	2
812	not found	2
280	ᛁᚾᛋᛏᚪᚱ (INSTAR)	2
934	not found	2
1311	not found	2
278	not found	2
204	not found	2
966	not found	2
809	not found	2
312	not found	2
