word,translated,gematria_sum
1,1,0
2,2,0
ᛗᚩᛒᛁᚢᛋ,MOBIUS,226
ᛗᚩᛋᛏ,MOST,190
ᛗᚩᚢᚱᚾᚠᚢᛚ,MOURNFUL,199
ᚻᚪᛋᚻᛖᛋ,HASHES,316
ᚾᚩᚹ,NOW,55
ᚳᛖᚱᛏᚪᛁᚾᛏᚣ,KERTAINTY,469
ᛋᚪᚣ,SAY,253
ᛖᛉᛈᛖᚱᛁᛖᚾᚳᛖ,EXPERIENKE,442
ᚩᚹᚾ,OWN,55
ᛖᛁᚦᛖᚱ,EITHER,181
ᛒᛖᚳᚪᚢᛋᛖ,BEKAUSE,361
ᛒᚢᚠᚠᛖᚱᛋ,BUFFERS,199
ᚪᚷᚪᛁᚾ,AGAIN,271
ᛠᚳᚻ,EAKH,145
ᛁᚾᛋᛏᚪᚱ,INSTAR,280
ᛏᚩᚩ,TOO,73
ᛋᛏᚩᛈᛈᛖᛞ,STOPPED,361
ᛋᛏᚢᛞᚣ,STUDY,307
ᛈᚱᛖᛋᛖᚱᚢᛝ,PRESERUING,334
ᛋᚢᚠᚠᛖᚱᛝ,SUFFERING,217
ᛗᚪᚣ,MAY,271
ᚻᚪᚢᛖ,HAUE,190
ᚳᛁᚱᚳᚢᛗᚠᛖᚱᛖᚾᚳᛖᛋ,KIRKUMFERENKES,451
ᚹᚪᚱᚾᛝ,WARNING,235
ᚹᚻᛁᚳᚻ,WHIKH,109
ᛚᚪᛏᛖᚱ,LATER,307
ᚠᚱᚩᛗ,FROM,91
ᚹᛁᚦ,WITH,55
ᚠᚩᛚᛚᚩᚹ,FOLLOW,181
ᚠᚩᚱᛗ,FORM,91
ᛞᚪᚣ,DAY,289
ᛗᛖᛋᛋᚪᚷᛖ,MESSAGE,425
ᛏᛖᛚᛚ,TELL,272
ᚹᛖᚱᛖ,WERE,164
ᚪᛒᚩᚢᛏ,ABOUT,227
ᚪᛗᚪᛋᛋ,AMASS,371
ᛋᛖᛖᚳ,SEEK,200
ᛈᚪᚢᛋᛖ,PAUSE,263
ᛁᛗᛈᚩᛋᛖ,IMPOSE,272
ᚠᚩᚱ,FOR,20
ᛈᚱᚩᚠᛖᛋᛋᚩᚱ,PROFESSOR,254
ᚱᛠᛋᚩᚾ,REASON,209
ᚱᛠᛚᛁᛏᛁᛖᛋ,REALITIES,434
ᛞᛖᛋᛏᚱᚩᚣ,DESTROY,389
ᚳᚩᚪᚾ,KOAN,146
ᚳᚩᚾᚠᚢᛋᛖᛞ,KONFUSED,263
ᛋᛏᚱᚩᛝ,STROING,209
ᛒᛖ,BE,128
ᛒᚣ,BY,164
ᛞᚢᚱᛝ,DURING,182
ᚢᛋ,US,56
ᚪᚠᛏᛖᚱ,AFTER,236
ᚳᛁᚱᚳᚢᛗᚠᛖᚱᛖᚾᚳᛖ,KIRKUMFERENKE,398
ᚦᛝᛋ,THINGS,137
ᛞᚢᛏᚣ,DUTY,254
ᛞᚩᚷᛗᚪ,DOGMA,281
ᚹᛖᛚᚳᚩᛗᛖ,WELKOME,317
ᛗᚢᚳᚻ,MUKH,110
ᚦᛖᚾ,THEN,101
ᛖᚾᛚᛁᚷᚻᛏᛖᚾᛖᛞ,ENLIGHTENED,551
ᚷᛖᛏᛏᛝ,GETTING,281
ᚩᛒᛋᚳᚢᚱᚪ,OBSKURA,245
ᛖᚾᚩᚢᚷᚻ,ENOUGH,146
ᛚᚩᛋᛖ,LOSE,200
ᛚᛁᚢᛖᛋ,LIUES,227
ᚩᚠᚠ,OFF,11
ᚷᚪᛁᚾ,GAIN,174
ᚹᚪᚣ,WAY,219
ᚹᛖᛒ,WEB,147
ᛁᛋ,IS,84
ᚹᚻᛖᚾ,WHEN,138
ᛁᚾᛋᛁᛞᛖ,INSIDE,300
ᚾᚪᛗᛖ,NAME,264
ᚳᚾᚩᚹᛚᛖᛞᚷᛖ,KNOWLEDGE,381
ᚹᛖᚾᛏ,WENT,174
ᚾᚩᚦᛝ,NOTHING,120
ᚳᚩᚾᛋᚳᛡᚢᛋᚾᛖᛋᛋ,KONSKIAUSNESS,480
ᚹᛁᛋᚻᛖᛋ,WISHES,246
ᛋᚢᚱᚠᚪᚳᛖ,SURFAKE,246
ᚠᛁᚾᚪᛚᛚᚣ,FINALLY,408
ᛚᛖᛋᛋᚩᚾ,LESSON,282
ᛚᚢᚳᚳ,LUKK,102
ᚦᚱᚩᚢᚷᚻ,THROUGH,66
ᛗᚩᚱᛖ,MORE,156
ᛗᚣ,MY,174
ᛖᛞᛁᛏ,EDIT,246
ᚩᚢᚱ,OUR,21
ᚳᚩᚾᛋᚢᛗᛝ,KONSUMING,255
ᛖᛉᛈᛚᚪᛁᚾᛖᛞ,EXPLAINED,543
ᚩᚢᛏᛋᛁᛞᛖ,OUTSIDE,309
ᛖᛗᛖᚱᚷᛖ,EMERGE,300
ᛋᛏᚪᚱᛏᛖᛞ,STARTED,435
ᛏᚩᛚᛞ,TOLD,228
ᛏᚩᚹᚪᚱᛞ,TOWARD,282
ᛏᚩ,TO,66
ᛋᛏᚱᚢᚷᚷᛚᛖ,STRUGGLE,300
ᛋᛈᛖᚳᛁᛖᛋ,SPEKIES,327
ᚱᛖᛈᛚᛁᛖᛞ,REPLIED,381
ᛞᛖᚳᛁᛞᛖᛞ,DEKIDED,445
ᛞᛁᛋᚳᚩᚢᛖᚱ,DISKOUER,274
ᛋᚻᚪᛈᛖ,SHAPE,283
ᛞᚩᚾᛏ,DONT,184
ᛚᛁᚳᛖ,LIKE,184
ᛖᛉᛁᛋᛏᛋ,EXISTS,310
ᛖᚾᚳᚱᚣᛈᛏᛖᛞ,ENKRYPTED,481
ᚻᚪᚾᛞ,HAND,238
ᛁ,I,31
ᛏᚱᚪᛁᛚᛖᛞ,TRAILED,427
ᛏᛖᛋᛏ,TEST,238
ᛗᛁᚾᛞ,MIND,220
ᛏᚹᚩ,TWO,85
ᛠᛋᚣ,EASY,265
ᚩᚾᛖ,ONE,103
ᚩᚢᚱᛋᛖᛚᚢᛖᛋ,OURSELUES,337
ᚷᚩᛝ,GOING,103
ᚪᛚᚩᛝ,ALOING,256
ᚪᛞᚻᛖᚱᛖᚾᚳᛖ,ADHERENKE,463
ᚣᚩᚢᚱᛋᛖᛚᚠ,YOURSELF,319
ᚪᚱᚱᛁᚢᛖ,ARRIUE,220
ᚢᚩᛁᛞ,UOID,130
ᚪᛋᚳᛖᛞ,ASKED,319
ᚳᚪᚾ,KAN,139
ᚹᚻᚩ,WHO,49
ᚪᚱᛒᛁᛏᚱᚪᚱᚣ,ARBITRARY,481
ᚪᚱᛖ,ARE,175
ᚢᚩᛁᚳᛖ,UOIKE,121
ᚩᛒᛏᚪᛁᚾ,OBTAIN,284
ᚩᚾᛚᚣ,ONLY,212
ᛏᚩᛏᛁᛖᚾᛏ,TOTIENT,311
ᛖᚾᛞ,END,185
ᚳᚪᚱᚾᚪᛚ,KARNAL,320
